genres,runtime,certificate,title,rate,year,votes,imgurl,desc
"Crime, Drama, Mystery",43,TV-14,NCIS: Los Angeles,6.7,2009,40102,"https://images-na.ssl-images-amazon.com/images/M/MV5BMGQzNGIzNmEtNWE3ZS00OTUyLTg3YTEtMDY3NDViZWE0YWY1XkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX67_CR0,0,67,98_AL_.jpg","The Naval Criminal Investigation Service's Office of Special Projects takes on the undercover work and the hard to crack cases in LA. Key agents are G. Callen and Sam Hanna, streets kids risen through the ranks."
"Crime, Drama",43,TV-14,Blue Bloods,7.5,2010,24970,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjY0NTE1ODU3OV5BMl5BanBnXkFtZTgwOTI4NDQwMDI@._V1_UX67_CR0,0,67,98_AL_.jpg",Revolves around a family of New York cops.
"Crime, Drama, Mystery",115,PG-13,Crooked House,6.4,2017,3348,"https://images-na.ssl-images-amazon.com/images/M/MV5BODQ3NjI2MzU4OF5BMl5BanBnXkFtZTgwNTc5NDIyNDM@._V1_UX67_CR0,0,67,98_AL_.jpg","In Agatha Christie's most twisted tale, a spy-turned-private-detective is lured by his former lover to catch her grandfather's murderer before Scotland Yard exposes dark family secrets."
"Action, Comedy, Drama",41,TV-14,Teen Wolf,7.7,2011,105221,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTEwMzcyMjYwNzNeQTJeQWpwZ15BbWU4MDAwMTU2ODIy._V1_UY98_CR0,0,67,98_AL_.jpg","A somewhat awkward teen is attacked by a werewolf and inherits the curse himself, as well as the enemies that come with it."
"Comedy, Crime, Drama",40,TV-14,Bones,7.9,2005,122670,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3ODMxMzM5NF5BMl5BanBnXkFtZTgwMDM1NjU0OTE@._V1_UX67_CR0,0,67,98_AL_.jpg","Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones."
"Crime, Drama, Mystery",187,R,The Hateful Eight,7.8,2015,373308,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MTc1NTg5NV5BMl5BanBnXkFtZTgwOTM2MDEzNzE@._V1_UX67_CR0,0,67,98_AL_.jpg","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
"Animation, Comedy",22,TV-PG,Bob's Burgers,8.1,2011,47764,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MzI0NTQ3OV5BMl5BanBnXkFtZTgwODMyMzc1MDE@._V1_UX67_CR0,0,67,98_AL_.jpg","Bob Belcher, along with his wife and 3 children, try to run their last hope of holding the family together, which is running Bob's dream restaurant."
"Action, Crime, Drama",44,TV-14,Prison Break,8.4,2005,399088,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3NTkwNzAxOF5BMl5BanBnXkFtZTcwMjM1NjI5MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg","Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside."
Drama,43,TV-G,When Calls the Heart,8.6,2014,6039,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjUxNjQ5NjgwNV5BMl5BanBnXkFtZTgwMzQzMDA1ODE@._V1_UX67_CR0,0,67,98_AL_.jpg","Elizabeth Thatcher, a young school teacher from a wealthy Eastern family, migrates from the big city to teach school in a small coal mining town in the west."
"Action, Crime, Drama",152,PG-13,The Dark Knight,9,2008,1869100,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham, the Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice."
"Drama, Fantasy, Mystery",60,TV-MA,American Gods,8.1,2017,41707,"https://images-na.ssl-images-amazon.com/images/M/MV5BY2ViNGI1ZGUtYmUyNS00ZWU0LWExOTQtMDMwZjQ2ZWJhNmRhXkEyXkFqcGdeQXVyNjYxMDUzODc@._V1_UX67_CR0,0,67,98_AL_.jpg","A recently released ex-convict named Shadow meets a mysterious man who calls himself ""Wednesday"" and who knows more than he first seems to about Shadow's life and past."
"Drama, Romance",58,TV-PG,Downton Abbey,8.7,2010,128414,"https://images-na.ssl-images-amazon.com/images/M/MV5BY2U1NmIwYzgtNjFkOS00YWUxLTg0YTMtZmE5NTA3YjRmY2NlXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY98_CR1,0,67,98_AL_.jpg",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early 20th Century.
Drama,120,TV-MA,El Chapo,7.9,2017,4663,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjMzMDg0Nzc2M15BMl5BanBnXkFtZTgwMzUxOTEyMzI@._V1_UY98_CR53,0,67,98_AL_.jpg","A look at the life of notorious drug kingpin, El Chapo, from his early days in the 1980s working for the Guadalajara Cartel, to his rise to power of during the '90s and his ultimate downfall in 2016."
"Animation, Adventure, Comedy",92,PG,Trolls,6.5,2016,52830,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNDc3OTcxMV5BMl5BanBnXkFtZTgwODk2NjAzOTE@._V1_UX67_CR0,0,67,98_AL_.jpg","After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."
"Action, Adventure, Comedy",108,R,Deadpool,8,2016,689408,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQyODg5Njc4N15BMl5BanBnXkFtZTgwMzExMjE3NzE@._V1_UY98_CR0,0,67,98_AL_.jpg",A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.
Drama,47,TV-14,Mad Men,8.6,2007,161883,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjMwNzk5Nzg2OV5BMl5BanBnXkFtZTgwMjg1OTk1NDE@._V1_UY98_CR0,0,67,98_AL_.jpg","A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper."
"Action, Sci-Fi, Thriller",110,14A,Bleeding Steel,5.6,2017,195,"https://images-na.ssl-images-amazon.com/images/M/MV5BYmQ2ZjNjZTAtODNkNi00N2EzLWFlOWItMmZhNzk2ZTEwMGRiXkEyXkFqcGdeQXVyMjQ1MDE0NzU@._V1_UY98_CR1,0,67,98_AL_.jpg","Chan stars as a hardened special forces agent who fights to protect a young woman from a sinister criminal gang. At the same time he with feels a special connection to the young woman, like they met in a different life."
