genres,runtime,certificate,title,rate,year,votes,imgurl,desc
"Drama, Fantasy, Horror",44,TV-14,Supernatural,8.5,2005,320053,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyODg0NzM4OV5BMl5BanBnXkFtZTgwMDkyOTg1MzI@._V1_UY98_CR5,0,67,98_AL_.jpg","Two brothers follow their father's footsteps as ""hunters"", fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth."
"Action, Adventure, Sci-Fi",133,PG-13,Rogue One: A Star Wars Story,7.8,2016,395483,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_UX67_CR0,0,67,98_AL_.jpg",The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.
"Comedy, Family",30,TV-G,Fuller House,7,2016,17901,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMzU5MzA0MF5BMl5BanBnXkFtZTgwODgyOTg1MzI@._V1_UX67_CR0,0,67,98_AL_.jpg",In a continuation of
Comedy,30,TV-MA,The Ranch,7.7,2016,18691,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxOTU5ODE0OV5BMl5BanBnXkFtZTgwNzM0MzQ1MDI@._V1_UX67_CR0,0,67,98_AL_.jpg",The son of a Colorado rancher returns home from a semi-pro football career to run the family business.
"Action, Adventure, Crime",42,TV-14,Arrow,7.8,2012,347259,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwOTgyNTQ1M15BMl5BanBnXkFtZTgwNDEyNzM3MzI@._V1_UY98_CR5,0,67,98_AL_.jpg","Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow."
"Horror, Mystery, Thriller",104,R,Get Out,7.7,I) (,218674,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjUxMDQwNjcyNl5BMl5BanBnXkFtZTgwNzcwMzc0MTI@._V1_UX67_CR0,0,67,98_AL_.jpg","It's time for a young African-American to meet with his white girlfriend's parents for a weekend in their secluded estate in the woods, but before long, the friendly and polite ambience will give way to a nightmare."
"Family, Fantasy, Musical",129,PG,Beauty and the Beast,7.3,2017,188360,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNjUxMTM4NV5BMl5BanBnXkFtZTgwODExMDQzMTI@._V1_UX67_CR0,0,67,98_AL_.jpg",An adaptation of the fairy tale about a monstrous-looking prince and a young woman who fall in love.
"Crime, Drama, Thriller",60,TV-MA,Mindhunter,8.7,2017,59736,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzNkZmNmZjMtZWI5OC00MzdiLTgxMjAtZWY2ZTIwMWM2Yzc2XkEyXkFqcGdeQXVyMjM5NDQzNTk@._V1_UX67_CR0,0,67,98_AL_.jpg",In the late 1970s two FBI agents expand criminal science by delving into the psychology of murder and getting uneasily close to all-too-real monsters.
"Action, Adventure, Drama",112,PG-13,The Mountain Between Us,6.4,2017,20192,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjllMWJmZTEtODA2Mi00MzY3LThiYmMtZDFjYjQ2NDM2MWJkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg","Stranded after a tragic plane crash, two strangers must forge a connection to survive the extreme elements of a remote snow-covered mountain. When they realize help is not coming, they embark on a perilous journey across the wilderness."
"Drama, Mystery, Sci-Fi",45,TV-MA,Travelers,8,II) ,17691,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjhmOGM4MWItOTlkMy00NWZlLWE2MDctYzFlYTIyZmEzOTUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_UY98_CR1,0,67,98_AL_.jpg","Hundreds of years from now, surviving humans discover how to send consciousness back through time, into people of the 21st century, while attempting to save humanity from a terrible future."
"Crime, Drama, Mystery",114,PG-13,Murder on the Orient Express,6.8,2017,61329,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGFmM2NmYjYtMjAwNy00ZDkzLWI3ZWMtOGZhOTRhYzQwMTA0XkEyXkFqcGdeQXVyNzU2MzMyNTI@._V1_UX67_CR0,0,67,98_AL_.jpg","When a murder occurs on the train he's travelling on, celebrated detective Hercule Poirot is recruited to solve the case."
"Comedy, Romance",22,TV-PG,Modern Family,8.5,2009,281500,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzRjOTE1ZTEtMTkwYy00MDQ4LTkxMmYtNzgxMWFlY2YyZjU2XkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UX67_CR0,0,67,98_AL_.jpg","Three different, but related families face trials and tribulations in their own uniquely comedic ways."
